Date,Total Ranges,IPv4 Count,IPv6 Count,Daily Added,Daily Removed,Net Change
2026-06-08,1081,1018,63,0,0,0
2026-06-09,1081,1018,63,0,0,0
2026-06-10,1081,1018,63,0,0,0
2026-06-11,1081,1018,63,0,0,0
2026-06-12,1081,1018,63,0,0,0
2026-06-13,1081,1018,63,0,0,0
2026-06-14,1083,1020,63,3,1,2
2026-06-15,1083,1020,63,0,0,0
2026-06-16,1083,1020,63,0,0,0
2026-06-17,1084,1021,63,1,0,1
2026-06-18,1084,1021,63,0,0,0
2026-06-19,1084,1021,63,0,0,0
2026-06-20,1084,1021,63,0,0,0
2026-06-21,1101,1038,63,17,0,17
2026-06-22,1101,1038,63,0,0,0
2026-06-23,1101,1038,63,0,0,0
2026-06-24,1101,1038,63,0,0,0
2026-06-25,1101,1038,63,0,0,0
2026-06-26,1101,1038,63,0,0,0
2026-06-27,1101,1038,63,0,0,0
2026-06-28,1101,1038,63,0,0,0
2026-06-29,1101,1038,63,0,0,0
2026-06-30,1144,1081,63,43,0,43
2026-07-01,1144,1081,63,0,0,0
2026-07-02,1144,1081,63,0,0,0
2026-07-03,1144,1081,63,0,0,0
2026-07-04,1144,1081,63,0,0,0
2026-07-05,1144,1081,63,0,0,0
2026-07-06,1144,1081,63,0,0,0
2026-07-07,1144,1081,63,0,0,0
2026-07-08,1144,1081,63,0,0,0
2026-07-09,1144,1081,63,0,0,0
2026-07-10,1144,1081,63,0,0,0
2026-07-11,1144,1081,63,0,0,0
2026-07-12,1144,1081,63,0,0,0
2026-07-13,1150,1087,63,6,0,6
2026-07-14,1151,1088,63,1,0,1
2026-07-15,1151,1088,63,0,0,0
2026-07-16,1151,1088,63,0,0,0
2026-07-17,1151,1088,63,0,0,0
2026-07-18,1151,1088,63,0,0,0
2026-07-19,1152,1089,63,1,0,1
2026-07-20,1152,1089,63,0,0,0
2026-07-21,1152,1089,63,0,0,0
2026-07-22,1152,1089,63,0,0,0
2026-07-23,1152,1089,63,0,0,0
2026-07-24,1152,1089,63,0,0,0
2026-07-25,1154,1091,63,2,0,2
2026-07-26,1154,1091,63,0,0,0
2026-07-27,1154,1091,63,0,0,0
2026-07-28,1152,1089,63,0,2,-2
2026-07-29,1154,1091,63,2,0,2
2026-07-30,1154,1091,63,0,0,0
2026-07-31,1152,1089,63,0,2,-2
2026-08-01,1152,1089,63,0,0,0
2026-08-02,1152,1089,63,0,0,0
2026-08-03,1154,1091,63,2,0,2
2026-08-04,1198,1089,109,46,2,44
2026-08-05,1198,1089,109,0,0,0
2026-08-06,1198,1089,109,0,0,0
2026-08-07,1201,1089,112,3,0,3
2026-08-08,1201,1089,112,0,0,0
2026-08-09,1201,1089,112,0,0,0
2026-08-10,1201,1089,112,0,0,0
2026-08-11,1201,1089,112,0,0,0
2026-08-12,1201,1089,112,0,0,0
2026-08-13,1201,1089,112,0,0,0
2026-08-14,1201,1089,112,0,0,0
2026-08-15,1201,1089,112,0,0,0
2026-08-16,1199,1089,110,0,2,-2
2026-08-17,1199,1089,110,0,0,0
2026-08-18,1199,1089,110,0,0,0
2026-08-19,1199,1089,110,0,0,0
2026-08-20,1199,1089,110,0,0,0
2026-08-21,1199,1089,110,0,0,0
2026-08-22,1199,1089,110,0,0,0
2026-08-23,1199,1089,110,0,0,0
2026-08-24,1199,1089,110,0,0,0
2026-08-25,1199,1089,110,0,0,0
2026-08-26,1199,1089,110,0,0,0
2026-08-27,1230,1120,110,31,0,31
2026-08-28,1236,1126,110,6,0,6
2026-08-29,1236,1126,110,0,0,0
2026-08-30,1236,1126,110,0,0,0
2026-08-31,1236,1126,110,0,0,0
2026-09-01,1236,1126,110,0,0,0
2026-09-02,1236,1126,110,0,0,0
2026-09-03,1236,1126,110,0,0,0
2026-09-04,1236,1126,110,0,0,0
2026-09-05,1236,1126,110,0,0,0
